text,label
apartment lease now,Rent
book grab ride,Transport
uber ride please,Transport
buy video game,Entertainment
buy video game,Entertainment
buy gas token,Utilities
buy gas token now,Utilities
need to eat at restaurant,Food
need to buy train ticket,Transport
buy medicine asap,Health
streaming music,Entertainment
need to vitamin purchase,Health
streaming music,Entertainment
water bill asap,Utilities
apartment lease now,Rent
pay bus fare now,Transport
need to pay clinic fee,Health
monthly house rent,Rent
apartment lease,Rent
phone bill asap,Utilities
eat at restaurant asap,Food
buy birthday gift now,Other
need to uber ride,Transport
buy video game asap,Entertainment
need to purchase book,Other
order grab food now,Food
boarding room rent,Rent
concert pass,Entertainment
book grab ride now,Transport
pay electricity bill,Utilities
student dorm rent!,Rent
uber ride!,Transport
buy medicine please,Health
snack purchase!,Food
uber ride!,Transport
buy gas token asap,Utilities
pay bus fare now,Transport
buy groceries now,Food
buy groceries,Food
buy birthday gift,Other
vitamin purchase asap,Health
internet subscription!,Utilities
need to pay electricity bill,Utilities
buy train ticket please,Transport
buy birthday gift now,Other
concert pass now,Entertainment
uber ride asap,Transport
buy medicine!,Health
order grab food now,Food
subscribe netflix now,Entertainment
boarding room rent please,Rent
need to student dorm rent,Rent
buy train ticket!,Transport
buy groceries!,Food
shopping mall,Other
buy birthday gift asap,Other
fuel car,Transport
book grab ride please,Transport
book grab ride asap,Transport
water bill please,Utilities
streaming music,Entertainment
buy medicine!,Health
need to book grab ride,Transport
buy groceries please,Food
buy groceries please,Food
hospital checkup please,Health
order grab food!,Food
book grab ride,Transport
buy gas token please,Utilities
stationery,Other
monthly house rent please,Rent
cinema ticket now,Entertainment
concert pass please,Entertainment
need to hospital checkup,Health
need to doctor visit,Health
book grab ride now,Transport
student dorm rent please,Rent
charity donation!,Other
boarding room rent now,Rent
office rent asap,Rent
stationery please,Other
boarding room rent,Rent
buy gas token,Utilities
pay clinic fee asap,Health
water bill,Utilities
internet subscription!,Utilities
order grab food!,Food
internet subscription,Utilities
need to vitamin purchase,Health
student dorm rent now,Rent
concert pass now,Entertainment
eat at restaurant please,Food
streaming music asap,Entertainment
purchase book asap,Other
streaming music please,Entertainment
snack purchase!,Food
boarding room rent please,Rent
stationery!,Other
concert pass!,Entertainment
hospital checkup please,Health
need to buy pizza,Food
buy pizza,Food
boarding room rent now,Rent
charity donation,Other
buy pizza,Food
pay clinic fee asap,Health
stationery now,Other
uber ride please,Transport
water bill please,Utilities
buy birthday gift please,Other
apartment lease asap,Rent
book grab ride now,Transport
shopping mall,Other
phone bill asap,Utilities
water bill please,Utilities
need to pay bus fare,Transport
student dorm rent please,Rent
doctor visit please,Health
student dorm rent please,Rent
cinema ticket please,Entertainment
shopping mall,Other
cinema ticket please,Entertainment
uber ride please,Transport
pay clinic fee,Health
concert pass asap,Entertainment
doctor visit,Health
student dorm rent,Rent
buy video game asap,Entertainment
need to charity donation,Other
buy groceries,Food
purchase book!,Other
buy birthday gift please,Other
need to pay bus fare,Transport
snack purchase,Food
buy gas token,Utilities
student dorm rent!,Rent
charity donation please,Other
buy gas token please,Utilities
shopping mall,Other
buy video game,Entertainment
streaming music now,Entertainment
internet subscription!,Utilities
subscribe netflix!,Entertainment
need to boarding room rent,Rent
pay bus fare,Transport
buy video game,Entertainment
boarding room rent please,Rent
buy groceries,Food
need to charity donation,Other
cinema ticket now,Entertainment
need to doctor visit,Health
concert pass now,Entertainment
buy gas token now,Utilities
streaming music now,Entertainment
need to buy groceries,Food
buy pizza!,Food
charity donation now,Other
shopping mall,Other
eat at restaurant please,Food
need to buy video game,Entertainment
need to buy medicine,Health
buy birthday gift asap,Other
student dorm rent!,Rent
pay electricity bill now,Utilities
buy medicine!,Health
uber ride,Transport
book grab ride,Transport
hospital checkup!,Health
subscribe netflix,Entertainment
buy pizza,Food
need to uber ride,Transport
pay electricity bill!,Utilities
charity donation now,Other
buy groceries now,Food
pay clinic fee please,Health
apartment lease,Rent
office rent asap,Rent
cinema ticket now,Entertainment
purchase book please,Other
buy video game now,Entertainment
need to uber ride,Transport
buy train ticket!,Transport
charity donation,Other
need to cinema ticket,Entertainment
buy medicine asap,Health
buy video game!,Entertainment
buy train ticket,Transport
buy train ticket,Transport
book grab ride,Transport
buy video game,Entertainment
phone bill now,Utilities
need to buy video game,Entertainment
charity donation asap,Other
purchase book!,Other
need to pay clinic fee,Health
buy pizza now,Food
buy video game now,Entertainment
water bill please,Utilities
streaming music asap,Entertainment
apartment lease now,Rent
buy medicine,Health
buy video game,Entertainment
need to hospital checkup,Health
cinema ticket now,Entertainment
office rent!,Rent
streaming music,Entertainment
purchase book asap,Other
pay clinic fee now,Health
eat at restaurant!,Food
cinema ticket,Entertainment
pay bus fare asap,Transport
hospital checkup,Health
water bill please,Utilities
monthly house rent asap,Rent
phone bill now,Utilities
concert pass,Entertainment
book grab ride,Transport
internet subscription!,Utilities
pay bus fare asap,Transport
snack purchase asap,Food
book grab ride,Transport
need to cinema ticket,Entertainment
cinema ticket please,Entertainment
hospital checkup asap,Health
book grab ride asap,Transport
office rent asap,Rent
charity donation!,Other
streaming music now,Entertainment
water bill please,Utilities
internet subscription!,Utilities
buy birthday gift!,Other
pay electricity bill now,Utilities
buy video game,Entertainment
buy train ticket asap,Transport
water bill now,Utilities
purchase book now,Other
need to pay bus fare,Transport
shopping mall asap,Other
need to office rent,Rent
book grab ride please,Transport
water bill!,Utilities
subscribe netflix please,Entertainment
buy video game please,Entertainment
water bill asap,Utilities
purchase book please,Other
buy gas token please,Utilities
shopping mall please,Other
pay clinic fee now,Health
stationery please,Other
fuel car!,Transport
need to buy medicine,Health
water bill asap,Utilities
pay bus fare,Transport
doctor visit now,Health
buy medicine asap,Health
buy gas token please,Utilities
book grab ride now,Transport
need to internet subscription,Utilities
internet subscription please,Utilities
need to snack purchase,Food
stationery now,Other
charity donation,Other
streaming music,Entertainment
eat at restaurant,Food
purchase book!,Other
pay clinic fee!,Health
need to subscribe netflix,Entertainment
stationery,Other
pay electricity bill!,Utilities
student dorm rent,Rent
pay electricity bill please,Utilities
need to monthly house rent,Rent
subscribe netflix,Entertainment
hospital checkup,Health
need to order grab food,Food
student dorm rent asap,Rent
fuel car please,Transport
snack purchase,Food
phone bill please,Utilities
buy pizza,Food
buy birthday gift,Other
buy train ticket!,Transport
hospital checkup,Health
need to boarding room rent,Rent
streaming music asap,Entertainment
stationery,Other
buy pizza,Food
uber ride asap,Transport
student dorm rent!,Rent
buy gas token please,Utilities
internet subscription,Utilities
hospital checkup,Health
water bill now,Utilities
charity donation,Other
cinema ticket please,Entertainment
purchase book!,Other
need to streaming music,Entertainment
stationery now,Other
doctor visit now,Health
book grab ride asap,Transport
buy birthday gift,Other
shopping mall,Other
buy gas token asap,Utilities
subscribe netflix,Entertainment
pay bus fare,Transport
eat at restaurant now,Food
streaming music,Entertainment
stationery,Other
need to concert pass,Entertainment
monthly house rent asap,Rent
buy birthday gift asap,Other
apartment lease now,Rent
buy video game,Entertainment
cinema ticket!,Entertainment
charity donation,Other
subscribe netflix,Entertainment
need to concert pass,Entertainment
fuel car asap,Transport
hospital checkup now,Health
need to concert pass,Entertainment
buy birthday gift,Other
buy train ticket now,Transport
need to snack purchase,Food
boarding room rent!,Rent
buy birthday gift,Other
pay clinic fee please,Health
need to student dorm rent,Rent
buy video game!,Entertainment
purchase book asap,Other
buy train ticket please,Transport
purchase book!,Other
